epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,702.496,1.4185,2.75234,1.62136,0.76927,0.64823,0.78941,0.53282,1.07453,2.81398,1.38223,0.000413165,0.000413165,0.000413165
2,1382.42,1.34099,1.79833,1.52049,0.7538,0.76691,0.83692,0.48652,1.36687,2.29358,1.55171,0.000813401,0.000813401,0.000813401
3,2052.67,1.34335,1.59796,1.52659,0.63311,0.59281,0.61836,0.39799,1.19816,2.28892,1.41655,0.00119714,0.00119714,0.00119714
4,2719.15,1.33461,1.38962,1.51645,0.68885,0.6857,0.7347,0.45547,1.39048,1.56061,1.62474,0.00117575,0.00117575,0.00117575
5,3390.71,1.30332,1.22201,1.49169,0.95237,0.84537,0.93421,0.64418,1.09816,0.9928,1.40196,0.001151,0.001151,0.001151
6,4058.23,1.24048,1.11333,1.44871,0.9002,0.77407,0.89444,0.63736,1.0361,1.05446,1.31704,0.00112625,0.00112625,0.00112625
7,4726.55,1.22471,1.03781,1.42901,0.94057,0.87914,0.94218,0.72105,0.8514,0.76264,1.19873,0.0011015,0.0011015,0.0011015
8,5391.27,1.16201,0.96684,1.38033,0.95245,0.94151,0.97044,0.75576,0.81229,0.70094,1.15992,0.00107675,0.00107675,0.00107675
9,6046.78,1.15787,0.92157,1.37847,0.96313,0.9334,0.9553,0.73752,0.85176,0.64763,1.17733,0.001052,0.001052,0.001052
10,6711.44,1.12778,0.87802,1.35636,0.77315,0.86288,0.88559,0.68057,0.83776,1.03424,1.15275,0.00102725,0.00102725,0.00102725
11,7363.51,1.1177,0.82643,1.34127,0.97196,0.94916,0.97834,0.72851,0.94674,0.587,1.2392,0.0010025,0.0010025,0.0010025
12,8018.23,1.08678,0.8067,1.32266,0.92359,0.90635,0.93799,0.72602,0.86918,0.6384,1.18399,0.00097775,0.00097775,0.00097775
13,8674.12,1.03841,0.7568,1.29453,0.95409,0.93129,0.97133,0.78187,0.73766,0.51804,1.07857,0.000953,0.000953,0.000953
14,9326.92,1.05273,0.74972,1.30032,0.98066,0.95488,0.97584,0.7738,0.82732,0.51024,1.14399,0.00092825,0.00092825,0.00092825
15,9954.02,1.00236,0.70103,1.27396,0.97333,0.92594,0.9647,0.80519,0.7028,0.49009,1.04417,0.0009035,0.0009035,0.0009035
16,10578.6,1.00598,0.69851,1.27412,0.95807,0.94936,0.97155,0.78663,0.70914,0.52712,1.0664,0.00087875,0.00087875,0.00087875
17,11199.2,1.01122,0.71411,1.28463,0.96427,0.92912,0.95543,0.7989,0.69924,0.51009,1.06744,0.000854,0.000854,0.000854
18,11841.1,0.98833,0.6749,1.26672,0.9905,0.94163,0.97552,0.79994,0.73826,0.4628,1.08535,0.00082925,0.00082925,0.00082925
19,12475.1,1.00323,0.68578,1.27033,0.98388,0.93966,0.97247,0.80905,0.69583,0.4738,1.04071,0.0008045,0.0008045,0.0008045
20,13105.8,0.96601,0.66319,1.24999,0.97358,0.94852,0.97382,0.80325,0.68838,0.4501,1.0595,0.00077975,0.00077975,0.00077975
21,13726.4,0.9495,0.63218,1.23136,0.98141,0.95094,0.97326,0.8139,0.68085,0.43879,1.02026,0.000755,0.000755,0.000755
22,14355.6,0.9334,0.62057,1.23556,0.98922,0.94839,0.97026,0.79937,0.78188,0.46624,1.06761,0.00073025,0.00073025,0.00073025
23,14983.9,0.93439,0.61115,1.22288,0.97514,0.95893,0.97483,0.81916,0.65836,0.42347,1.00716,0.0007055,0.0007055,0.0007055
